Persea macrantha,Malabar Coast Moist Forests
Schleichera oleosa,Malabar Coast Moist Forests
Syzygium cumini,Malabar Coast Moist Forests
Terminalia bellirica,Malabar Coast Moist Forests
Terminalia arjuna,Malabar Coast Moist Forests
Tetrameles nudiflora,Malabar Coast Moist Forests
Xylia xylocarpa,Malabar Coast Moist Forests
Ailanthus excelsa,Narmada Valley Dry Deciduous Forests
Anogeissus latifolia,Narmada Valley Dry Deciduous Forests
Bauhinia vahlii,Narmada Valley Dry Deciduous Forests
Bombax ceiba,Narmada Valley Dry Deciduous Forests
Boswellia serrata,Narmada Valley Dry Deciduous Forests
Bridelia retusa,Narmada Valley Dry Deciduous Forests
Buchanania cochinchinensis,Narmada Valley Dry Deciduous Forests
Dendrocalamus strictus,Narmada Valley Dry Deciduous Forests
Diospyros melanoxylon,Narmada Valley Dry Deciduous Forests
Ficus benghalensis,Narmada Valley Dry Deciduous Forests
Ficus infectoria,Narmada Valley Dry Deciduous Forests
Holoptelea integrifolia,Narmada Valley Dry Deciduous Forests
Hymenodictyon orixense,Narmada Valley Dry Deciduous Forests
Kydia calycina,Narmada Valley Dry Deciduous Forests
Lagerstroemia parviflora,Narmada Valley Dry Deciduous Forests
Madhuca indica,Narmada Valley Dry Deciduous Forests
Miliusa tomentosa,Narmada Valley Dry Deciduous Forests
Mitragyna parvifolia,Narmada Valley Dry Deciduous Forests
Ougeinia oojeinensis,Narmada Valley Dry Deciduous Forests
Shorea robusta,Narmada Valley Dry Deciduous Forests
Soymida febrifuga,Narmada Valley Dry Deciduous Forests
Stereospermum chelonoides,Narmada Valley Dry Deciduous Forests
Terminalia bellirica,Narmada Valley Dry Deciduous Forests
Terminalia elliptica,Narmada Valley Dry Deciduous Forests
Wrightia tinctoria,Narmada Valley Dry Deciduous Forests
Adina cordifolia,North Deccan Dry Deciduous Forests
Aegle marmelos,North Deccan Dry Deciduous Forests
Albizia procera,North Deccan Dry Deciduous Forests
Anogeissus acuminata,North Deccan Dry Deciduous Forests
Anogeissus latifolia,North Deccan Dry Deciduous Forests
Bridelia retusa,North Deccan Dry Deciduous Forests
Careya arborea,North Deccan Dry Deciduous Forests
Cassine glauca,North Deccan Dry Deciduous Forests
Dalbergia latifolia,North Deccan Dry Deciduous Forests
Dalbergia paniculata,North Deccan Dry Deciduous Forests
Diospyros malabarica,North Deccan Dry Deciduous Forests
Diospyros melanoxylon,North Deccan Dry Deciduous Forests
Diospyros montana,North Deccan Dry Deciduous Forests
Garuga pinnata,North Deccan Dry Deciduous Forests
Kydia calycina,North Deccan Dry Deciduous Forests
Madhuca indica,North Deccan Dry Deciduous Forests
Mitragyna parvifolia,North Deccan Dry Deciduous Forests
Shorea robusta,North Deccan Dry Deciduous Forests
Soymida febrifuga,North Deccan Dry Deciduous Forests
Stereospermum suaveolens,North Deccan Dry Deciduous Forests
Syzygium cumini,North Deccan Dry Deciduous Forests
Terminalia arjuna,North Deccan Dry Deciduous Forests
Terminalia bellirica,North Deccan Dry Deciduous Forests
Terminalia chebula,North Deccan Dry Deciduous Forests
Terminalia tomentosa,North Deccan Dry Deciduous Forests
Trema orientalis,North Deccan Dry Deciduous Forests
Anogeissus latifolia,North Western Ghats Moist Deciduous Forests
Bauhinia malabarica,North Western Ghats Moist Deciduous Forests
Bombax ceiba,North Western Ghats Moist Deciduous Forests
Careya arborea,North Western Ghats Moist Deciduous Forests
Dalbergia latifolia,North Western Ghats Moist Deciduous Forests
Dillenia pentagyna,North Western Ghats Moist Deciduous Forests
Diospyros montana,North Western Ghats Moist Deciduous Forests
Ficus amplissima,North Western Ghats Moist Deciduous Forests
Ficus drupacea,North Western Ghats Moist Deciduous Forests
Ficus religiosa,North Western Ghats Moist Deciduous Forests
Haldina cordifolia,North Western Ghats Moist Deciduous Forests
Holoptelea integrifolia,North Western Ghats Moist Deciduous Forests
Lagerstroemia hirsuta,North Western Ghats Moist Deciduous Forests
Lagerstroemia microcarpa,North Western Ghats Moist Deciduous Forests
Macaranga peltata,North Western Ghats Moist Deciduous Forests
Mallotus philippinensis,North Western Ghats Moist Deciduous Forests
Mangifera indica,North Western Ghats Moist Deciduous Forests
Melia dubia,North Western Ghats Moist Deciduous Forests
Meyna laxiflora,North Western Ghats Moist Deciduous Forests
Miliusa tomentosa,North Western Ghats Moist Deciduous Forests
Mitragyna parvifolia,North Western Ghats Moist Deciduous Forests
Neolamarckia cadamba,North Western Ghats Moist Deciduous Forests
Pterocarpus marsupium,North Western Ghats Moist Deciduous Forests
Radermachera xylocarpa,North Western Ghats Moist Deciduous Forests
Schleichera oleosa,North Western Ghats Moist Deciduous Forests
Spondias pinnata,North Western Ghats Moist Deciduous Forests
Strychnos nux-vomica,North Western Ghats Moist Deciduous Forests
Syzygium cumini,North Western Ghats Moist Deciduous Forests
Tabernaemontana alternifolia,North Western Ghats Moist Deciduous Forests
Terminalia cuneata,North Western Ghats Moist Deciduous Forests
Terminalia elliptica,North Western Ghats Moist Deciduous Forests
Terminalia paniculata,North Western Ghats Moist Deciduous Forests
Tetrameles nudiflora,North Western Ghats Moist Deciduous Forests
Xylia xylocarpa,North Western Ghats Moist Deciduous Forests
Actinodaphne angustifolia,North Western Ghats Montane Rainforests
Aglaia elaeagnoidea,North Western Ghats Montane Rainforests
Alseodaphne semecarpifolia,North Western Ghats Montane Rainforests
Artocarpus hirsutus,North Western Ghats Montane Rainforests
Canthium dicoccum,North Western Ghats Montane Rainforests
Caryota urens,North Western Ghats Montane Rainforests
Cinnamomum verum,North Western Ghats Montane Rainforests
Cleistanthus malabaricus,North Western Ghats Montane Rainforests
Dimocarpus longan,North Western Ghats Montane Rainforests
Diospyros nigrescens,North Western Ghats Montane Rainforests
Diospyros paniculata,North Western Ghats Montane Rainforests
Drypetes venusta,North Western Ghats Montane Rainforests
Holigarna arnottiana,North Western Ghats Montane Rainforests
Holigarna grahamii,North Western Ghats Montane Rainforests
Hopea parviflora,North Western Ghats Montane Rainforests
Hopea ponga,North Western Ghats Montane Rainforests
Humboldtia brunonis,North Western Ghats Montane Rainforests
Knema attenuata,North Western Ghats Montane Rainforests
Lagerstroemia microcarpa,North Western Ghats Montane Rainforests
Macaranga peltata,North Western Ghats Montane Rainforests
Myristica malabarica,North Western Ghats Montane Rainforests
Nothopegia beddomei,North Western Ghats Montane Rainforests
Nothopegia castaneifolia,North Western Ghats Montane Rainforests
Olea dioica,North Western Ghats Montane Rainforests
Palaquium ellipticum,North Western Ghats Montane Rainforests
Persea macrantha,North Western Ghats Montane Rainforests
Poeciloneuron indicum,North Western Ghats Montane Rainforests
Polyalthia fragrans,North Western Ghats Montane Rainforests
Strombosia ceylanica,North Western Ghats Montane Rainforests
Syzygium laetum,North Western Ghats Montane Rainforests
Terminalia paniculata,North Western Ghats Montane Rainforests
Vateria indica,North Western Ghats Montane Rainforests
Xantolis tomentosa,North Western Ghats Montane Rainforests
Alangium salvifolium,Orissa Semi-evergreen Forests
Albizia lebbeck,Orissa Semi-evergreen Forests
Albizia marginata,Orissa Semi-evergreen Forests
Alstonia scholaris,Orissa Semi-evergreen Forests
Anogeissus latifolia,Orissa Semi-evergreen Forests
Artocarpus heterophyllus,Orissa Semi-evergreen Forests
Careya arborea,Orissa Semi-evergreen Forests
Cassia fistula,Orissa Semi-evergreen Forests
Diospyros ebenum,Orissa Semi-evergreen Forests
Diospyros malabarica,Orissa Semi-evergreen Forests
Diospyros melanoxylon,Orissa Semi-evergreen Forests
